,nickname,Visit,Title,Review,Traveler_type,Restaurant
1,josephdtraveler,20-Jan,Wonderful ,This place is amazing and wonderful burgers are fantastic. You will not find better nearby. Highly recommended. Small plane and busy for good reason. Tap beer is great too. Would go here again. Love this place!,Business,Black Iron Burger
2,Beth M,20-Feb,Solid burgers in a small chain restaurant,I popped in here for lunch and had a burger and fries that were quite yummy given that this is a chain.  Very juicy.  I sat at the bar and service was good.,Families,Black Iron Burger
3,freerangeegg1989,20-Mar,Best Fries ever!,We visited New York for 7 days and both agreed this was the best food we had there! The loaded fries were so good! Brooklyn lager was also really nice! If we hadn’t visited here on our last night we would visit again!,Couples,Black Iron Burger
4,rbennett1993,20-Mar,Amazing Burger & Wings!,"We found the restaurant on a whim when sitting in  a bar looking for somewhere to eat and it certainly didn't disappoint. Only a 10 minute walk from times square and had happy hour going on!
We had chipotle bbq wings to share, then a...burger each (bib chicken burger and little Italy burger) and sides (french fries with cajun spice and bib bravas). Absolutely delicious and so tasty, 100% filling. 
Happy hour deals where also brilliant, great atmosphere and staff were brilliant!More",Families,Black Iron Burger
5,raniandjames,20-Mar,"Excellent food, great service!","Came across this restaurant on trip advisor so thought we’d try it out. It did not disappoint! One of the best meals we had in NY! Was exactly what we were looking for. We had chipotle bbq wings which were some of the best wings...we’ve ever had, a burger which was also great and the garlic fries which were amazing! Everything was cooked well and tasted great! The restaurant is pretty small so probably best to book a table if you can - especially on weekends, also request a table towards the back as we sat very near the front door so was pretty cold. 

The food is a little expensive - a double cheese burger was $15 with no fries, but was worth it.

The staff were very friendly and went out of their way to make sure everything was ok. Would definitely visit this place again next time we are in NYC!More",Couples,Black Iron Burger
6,Heup,20-Feb,Best burger I have ever had!,Best burger I have ever had! That’s all I can really say. I could have eaten it ten times over. We were recommended it by a friend and they weren’t wrong. You have to go here if you are in New York,Couples,Black Iron Burger
7,Hanster11,20-Mar,Delicious and good value,Delicious burgers and fries. Milkshake was really good. Attentive staff. Great meal and good value at $60.00 for a couple with milkshakes,Families,Black Iron Burger
8,DrunkenJukebox,20-Feb,Favourite meal of the trip ,"We found this place by searching TA ourselves.  

The atmosphere is friendly, relaxed and really cosy. We were seated straight away even though we hadn’t booked and the service was attentive without being overbearing. Great choice of burgers and drinks and the fries are to...die for, we had 4 different lots between us and couldn’t decide which ones were the best as they were all fantastic!  I paid about $160 (the equivalent of £120) for 2 adults and 2 teenagers eating one burger and fries each plus 4 beers and 4 soft drinks and tip which we thought was quite reasonable considering we all really enjoyed the whole experience. 

Would definitely recommend this place and it’ll be our first port of call next time we visit NYC.More",Business,Black Iron Burger
9,russellbeard74,20-Feb,Very relaxed. Great atmosphere. Friendly staff.,"Loved this place and so did my family (teenage daughters - not always easy to please). We got there around 6pm and got seated straightaway although if we’d left it much later we would have been queuing to get a seat. Food was amazing. No...fancy gimmicks...just great food, friendly staff and a great atmosphere. The kids would have eaten here every night if I’d let them!More",Families,Black Iron Burger
10,HannesC2596PE,20-Feb,Friendly staff & good food,"Friendly staff & good food, what else do you need?
My burger was ready in short time even during the busy lunchtime.
Quite full around noon. 
Moderate pricing",Families,Black Iron Burger
