,Nickname,Visit,Title,Review,Traveler_type,Restaurant
1,richardnW9222JN,21-Jan,Great Burgers!,Wonderfully welcoming waiter seated us at our heated curbside table that had just been sanitized. He gave us some complimentary hot water to warm us up. We had burgers that were cooked perfectly with a side of crinkle fries. A very tasty experience!,Business,Napkin Burger Hell
2,pearsonm011,20-Nov,Delicious burgers and sweet,"Delicious burgers and sweet potato fries, and the restaurant staff were exceptionally kind. Definitely would visit again and I recommend dining with them if you happen to be in the Hell’s Kitchen.",Families,Napkin Burger Hell
3,V4650YKanitap,20-Sep,VERY DELICIOUS!!!,"My family was in NYC for Labor Day weekend. We always look up restaurants and or things to do before we take a holiday. This time, my husband chose 5 Napkin Burger. We were all very delighted with our burgers here. I tried the 5...Napkin Burger, delicious! We loved the burger sauces and thought the onion rings were the real hidden gem. The staff was so friendly as well.  We were all around very pleased.More",Couples,Napkin Burger Hell
4,Pamela_G_NYC,20-Sep,Delicious Dinner! Teenagers approved!,"A friend of ours wanted to treat us for dinner for doing them a favor, so we chose the past Sunday we returned from a weeks’s vacation, having little fresh food in the house. My teenagers and I quickly decided on 5 Napkin Burger (UWS),...and our friend ordered through their Seamless account, a food delivery service, since it was their treat.  The dinners arrived so fast and so hot and so delicious! The burgers were cooked to perfection,  and they listened to our special requests.  We also noticed the packaging seems to be compostable, so cheers to that! Five Napkin Burger kept in touch with us throughout the order through delivery, and even after to make sure everything was OK. Kudos to them for an all around enjoyable meal.  No complaints from this family! <U+0001F354>More",Families,Napkin Burger Hell
5,Jayne032,19-Dec,Amazing Burgers,"We took my mum and a friend here on our last visit to NYC - myself and my husband had been before, and liked it so much, we knew we had to reserve a table here for their visit.

The food is lovely, we all...had something different and we all enjoyed it. My mum isn't a massive burger fan, but she wanted to go to experience a burger in NYC - they offer a chicken burger and she said it was lovely.

Great decor, and lots of choices. The only thing not letting me give it 5/5 was that the music is a little loud for chatting over.

We'll be back!!More",Couples,Napkin Burger Hell
6,Trashcollector,20-May,Expensive burger for the quality,"I went past the restaurant for two years before trying it.

The burger was expensive at 18 dollars but I don't think it is not amazing quality. The beef patty was medium rare - the way I like it. The caramelized onion was great.

Hard...to justify the priceMore",Couples,Napkin Burger Hell
7,RxAggie02,19-Jul,"Excellent Fresh hot food, superb service..","When visiting New York we happened into this place which was pretty hoppin'.  Lots of people and seemed more like a local crowed than a touristy crowd.  The service was quick and friendly. Our waiter had drinks for me and the kids in no time....The hamburgers were excellent and the buns were awesome.  My favorite part was the sweet potato fries. 

The place was loud with conversations and laughter, but we went at 7pm so lots of business and expected.  Would definitely visit again next time back to NYC.More",Families,Napkin Burger Hell
8,marito a,19-Sep,5 Napkin Burger,In five Napkin Burger all the dishes are huge! Huge and delicious with very good potatoes ...hmmnn American Food 100%!!! Check It!!!,Business,Napkin Burger Hell
9,Livfoodie,20-Mar,Amazing burgers!,Best burger in New York by a country mile! The servers in here are all really friendly and the portions are generous. Great selection of beer too.,Families,Napkin Burger Hell
10,DonRatello,20-Feb,Tasty burgers,"Not eating a burger in US is a sin. When you are a turist in that beautiful country, you need to check it out. It's a must! For doing it, we picked 5 Napkins restaurant. The place was elegant, looks modern. We checked out the...menu first to not to pay a fortune for it. When arrived, we immediately received a table. We ordered 5Napkin burger nad lamb kofta. Our order was delivered pretty fast. We were so happy that the steak was properly fried - we wanted medium and we received it, perfectly done. Burgers were not big but also were not too small. They were so delicious. However we wanted something more so we decided to check out the New Yorker cheesecakes. It was our first trial of cheesecakes in NYC so we were so shocked! It was so creamy, so soft, so delicious! Like a piece of heaven! Will I recommend this place? Of course! Will I come back? Of course!More",Families,Napkin Burger Hell
11,351christopher,20-Mar,Great burgers,"Great burgers with reasonable prices. I had the low carb version, i.e. a tasty burger without bun on a fresh salad. 

Much better than the chain restaurants on Times Square that is nearby",Families,Napkin Burger Hell
12,Shaun J,20-Mar,Nice place,"Ate here before a show on Broadway, got a nice feel about the place, 9th avenue has some very good food places.We very good burgers,great quick service.",Friends,Napkin Burger Hell
13,marmar0480,20-Mar,Very tasty burger,Very tasty burger - it was huge! Sweet potato fries were good too. Good choice of different types of burgers available. Open late so was able to pop in after the theatre.,Business,Napkin Burger Hell
14,Kris P,20-Mar,supper on a weekend in new york,The service was fantastic. the hostess and server took care of us and the food is great ! the best burgers I have eaten ! The atmosphere is friendly and it was such a great experience we came back on sunday for brunch.,Friends,Napkin Burger Hell
15,SuitcaseLawyer,20-Mar,Impossible cheeseburger with GF hard to beat!,"I’ve been coming here every time I’m in NYC for a while. I hadn’t noticed that. But it is a clean, tasty place that doesn’t lose quality and keeps making better options.

They now have the impossible burger and a gluten free bun. It was...More",Solo,Napkin Burger Hell
16,chiquidys,20-Feb,Delicious food & great service,"I booked a table in advance for this restaurant, which I would advise as it gets very busy.

We arrived slightly early and took a seat at the bar, drinks and service were both great! 

We were then called to our table, perfectly on time...More",Friends,Napkin Burger Hell
17,dallas_blah,20-Feb,Good pairing with theater,"he stars are a little misleading because this is a 4-star place when you're looking for a reliable restaurant near the theaters which is quick and reasonable and reserve-able. Everything we eat here is good to very good, and always a treat. For two, we...More",Friends,Napkin Burger Hell
18,513anantk,20-Feb,Good burgers ,The burgers are good here and so is the dessert served here especially cheese cake which was really yummy soft and really good,Solo,Napkin Burger Hell
19,Snowleopards89,19-Dec,Perfect burger in NYC,"This was our second visit, the first being 3 years ago, and we loved it so much we thought we definitely need to return. I absolutely love the little plate of gherkins you get whilst perusing the menu! We each had a cocktail which were...More",Friends,Napkin Burger Hell
20,Silverysue,20-Feb,Great burger & friendly staff,"We went here twice during our stay. 
Food was tasty and reasonably priced. We enjoyed the music which you could hear but wasn’t too loud. Attentive staff.
Had a chicken burger and onion rings and blackened steak first time. The steak was a little underdone...More",Friends,Napkin Burger Hell
21,joffarbb,20-Feb,Ok burger,"Went here with two friends. We all ate different burgers and agreed that the burgers was good, but not great. The sweet potato fries was really good, and the five layer chocolatecake was amazing (but too much for one person!).

The service was very good...More",Couples,Napkin Burger Hell
22,Akis89,19-Dec,Good choice,I have been in this restaurant in Christmas period. They have nice hamburger with different tipe of choices.I suggest also to try the NY cheesecake there.,Business,Napkin Burger Hell
23,680sebastianot,19-Dec,Best burgers,Delicious burgers! I'd reccommend the 5 Napkin Burger with the hand cut fries! The waiters very kind and helpful with recommendations! You can also order for take away.,Families,Napkin Burger Hell
24,Tasmia A,20-Feb,We had a chicken burger and,We had a chicken burger and a vege salad. Both were good portion sizes and super super tasty. Everything tasted super fresh and well balanced. Highly recommended.,Families,Napkin Burger Hell
25,124euaf,20-Feb,Great choice ,In a very central location near to times Square. The burger really tasty and the sweet potato fries as well. Not to expensive compared to other restaurants. The staff really helpful and pleasant.,Friends,Napkin Burger Hell
26,AnnMayTravelling,19-Dec,Very good Burgers for a still good price ,"My visit at 5 Napkin was very good. I came across it here on Tripadvisor and was not disappointed by what I found.
The food was very good and tasty. The burger was quite big and the patty was fresh and juicy. The fries needed...More",Families,Napkin Burger Hell
27,yourgurlstacyt87,20-Jan,Fod was good but watress kept starring at my boyfriend,The food tasted good but our watress kept looking at my boyfriend so we will not be returning. i dont remember what her name is but it was something weird so dont take your boyfriend here.,Families,Napkin Burger Hell
28,Amazon5,19-Oct,A Nice Place on 9th Avein NYC  but Crowded,"Wife had  a 5 burger and I had the wings, with matzo ball soup and brussels sprouts. 
Pretty decent drink list. Crowed and a bit noisey.",Couples,Napkin Burger Hell
29,gloriaprodriguez,19-Sep,Best burger in NYC,Best burger in NYC. My daughter loves going there specially when Jannet is on the house. Had so much fun last time we went and I recommend the Jerk chicken Burger with loaded fries.,Friends,Napkin Burger Hell
30,Tiziana S,19-Nov,Burger in NYC,"Very nice place to have dinner. The waiters are nice and helpful and the place is clean. Food is ok. The burgers looks very good and tasty but they aren't the only choice. You can have salads, stakes for example. Suggested but not mandatory.",Friends,Napkin Burger Hell
