Nickname,Review,Liked
dataartisan1,Wow... Loved this place.,1
RLangPackage,Crust is not good.,0
Mar__Benavides,Not tasty and the texture was just nasty.,0
bobehayes,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
ar_spheroid,The selection on the menu was great and so were the prices.,1
VeronicaBlancoR,Now I am getting angry and I want my damn pho.,0
PinakiLaskar,Honeslty it didn't taste THAT fresh.),0
chidambara09,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
couponed_code,The fries were great too.,1
tidyversetweets,A great touch.,1
GuyProchilo,Service was very prompt.,1
georgyuka,Would not go back.,0
sashax2_,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
SaimaRa52073090,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
bukmedianet,I was disgusted because I was pretty sure that was human hair.,0
setupel,I was shocked because no signs indicate cash only.,0
JoachimSchork,Highly recommended.,1
FlySpaceships,Waitress was a little slow in service.,0
chtnha,"This place is not worth your time, let alone Vegas.",0
SourabhSKatoch,did not like at all.,0
icymi_r,The Burrittos Blah!,0
GregorMathes,"The food, amazing.",1
aschinchon,Service is also cute.,1
robertodepinho,I could care less... The interior is just beautiful.,1
EconTweetingBot,So they performed.,1
CouseSites,That's right....the red velvet cake.....ohhh this stuff is so good.,1
rwang0,#NAME?,0
SHAIKSAMEER2407,"This hole in the wall has great Mexican street tacos, and friendly staff.",1
miguel_code,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
aitipsforall,The worst was the salmon sashimi.,0
genia003,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
CRANberriesFeed,This was like the final blow!,0
ujjal95371221,I found this place by accident and I could not be happier.,1
verajosemanuel,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
HaroldSinnott,"Overall, I like this place a lot.",1
digitalke1,The only redeeming quality of the restaurant was that it was very inexpensive.,1
Fisheyebox,Ample portions and good prices.,1
bmwiernik,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
gp_pulipaka,My first visit to Hiro was a delight!,1
Guru_GyanKhoji,Service sucks.,0
ruben_arce_s,The shrimp tender and moist.,1
Kipkoech_the4th,There is not a deal good enough that would drag me into that establishment again.,0
BiswaData,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
msilveiraaa_,"On a positive note, our server was very attentive and provided great service.",1
Analyticsindiam,"Frozen pucks of disgust, with some of the worst people behind the register.",0
Rbloggers,The only thing I did like was the prime rib and dessert section.,1
CodeGranthShala,It's too bad the food is so damn generic.,0
hgfernan,"The burger is good beef, cooked just right.",1
ARenzoCaceresR,If you want a sandwich just go to any Firehouse!!!!!,1
ancazugo,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
yayoarjona,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
CouponBest3,He came running after us when he realized my husband had left his sunglasses on the table.,1
SavranWeb,Their chow mein is so good!,1
diego_amazonia,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
yywwy3,The portion was huge!,1
cstats1,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
calvinmdewilde,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
benrfitzpatrick,Not much seafood and like 5 strings of pasta at the bottom.,0
rbukralia,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
daily_r_sheets,"The ripped banana was not only ripped, but petrified and tasteless.",0
Dost__M,At least think to refill my water before I struggle to wave you over for 10 minutes.,0
ref_sys,This place receives stars for their APPETIZERS!!!,1
groundwalkergmb,The cocktails are all handmade and delicious.,1
vijaybarve,We'd definitely go back here again.,1
AFredston,We are so glad we found this place.,1
New081082,"Great food and service, huge portions and they give a military discount.",1
CloudEkas,Always a great time at Dos Gringos!,1
tylermorganwall,Update.....went back for a second time and it was still just as amazing,1
paleolimbot,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
phytools_liam,A great way to finish a great.,1
rosieabe,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
DerFredo,The service was meh.,0
ovals,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
dataclaudius,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
jsantiago_98,The scallop dish is quite appalling for value as well.,0
PlantzJake,2 times - Very Bad Customer Service !,0
bass_analytics,The sweet potato fries were very good and seasoned well.,1
espaciomuestral,Today is the second time I've been to their lunch buffet and it was pretty good.,1
eddelbuettel,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
WorldLogoMart,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
KirkDBorne,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
CorrelationsBot,The turkey and roast beef were bland.,0
marcusborba,This place has it!,1
drtimschoof,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
lucasmmedrano07,I love the Pho and the spring rolls oh so yummy you have to try.,1
RenanChMarques,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
CouponReal,All I have to say is the food was amazing!!!,1
toeb18,Omelets are to die for!,1
erc_bk,Everything was fresh and delicious!,1
LabSpiritu,"In summary, this was a largely disappointing dining experience.",0
realDevineni,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
AI_Miami,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
Strat_AI,Best breakfast buffet!!!,1
jeffrey_schrad,say bye bye to your tip lady!,0
DocGallJr,We'll never go again.,0
henrikbengtsson,Will be back again!,1
patri_vaquero_,Food arrived quickly!,1
daattali,It was not good.,0
chickpe72627080,"On the up side, their cafe serves really good food.",1
BellaGFeng,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
dickie_roper,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
aicanedo,"Best Buffet in town, for the price you cannot beat it.",1
italiancomuni,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
m_ozga13,This is one of the better buffets that I have been to.,1
nicofierov,So we went to Tigerlilly and had a fantastic afternoon!,1
allhoff_joachim,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
data_question,The ambience is wonderful and there is music playing.,1
Iamdataqueen,Will go back next trip out.,1
PyData,Sooooo good!!,1
brodriguesco,"REAL sushi lovers, let's be honest - Yama is not that good.",0
SciNerdRobb,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
RikaGorn,This is a really fantastic Thai restaurant which is definitely worth a visit.,1
anyasorchigozie,"Nice, spicy and tender.",1
AsaliMuh,Good prices.,1
KevinClarity,Check it out.,1
griddb_jp,It was pretty gross!,0
Primary_Immune,I've had better atmosphere.,0
mdancho84,Kind of hard to mess up a steak but they did.,0
dutxee5353,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
PhDToothFAIRy,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
elikesprogramm1,"Worst service to boot, but that is the least of their worries.",0
jfd118,Service was fine and the waitress was friendly.,1
dikayodata,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
sharon000,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
zfurnas,"Host staff were, for lack of a better word, BITCHES!",0
Guillo_AD,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
predictivehacks,"Phenomenal food, service and ambiance.",1
4nsgarW,I wouldn't return.,0
andreadis_i,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
ellis_hughes,This place is way too overpriced for mediocre food.,0
RLadiesTunis,Penne vodka excellent!,1
alexlusco,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
stevenvmiller,The management is rude.,0
rstatsdata,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
covidcat4,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
asidianya,I had a seriously solid breakfast here.,1
Analytics_699,This is one of the best bars with food in Vegas.,1
milos_agathon,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
claudiodanielpc,My drink was never empty and he made some really great menu suggestions.,1
Tavo_Cera,Don't do it!!!!,0
yabellini,The waiter wasn't helpful or friendly and rarely checked on us.,0
dseverski,My husband and I ate lunch here and were very disappointed with the food and service.,0
HHVNguyen,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
antoine_fabri,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
MartinDevaux,The bathrooms are clean and the place itself is well decorated.,1
grrrck,"The menu is always changing, food quality is going down & service is extremely slow.",0
Social_Molly,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
RLadiesDammam,I give it 2 thumbs down,0
DallasRladies,We watched our waiter pay a lot more attention to other tables and ignore us.,0
sicb_dpcb,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
linellislee,This is a great restaurant at the Mandalay Bay.,1
AnnoDomaini,We waited for forty five minutes in vain.,0
simonpcouch,Crostini that came with the salad was stale.,0
ProgrammingHero,Some highlights : Great quality nigiri here!,1
rweekly_live,the staff is friendly and the joint is always clean.,1
researchremora,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
SumeraAshiq1,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
