,Review
1,Wow... Loved this place.
2,Crust is not good.
3,Not tasty and the texture was just nasty.
4,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
5,The selection on the menu was great and so were the prices.
6,Now I am getting angry and I want my damn pho.
7,Honeslty it didn't taste THAT fresh.)
8,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
9,The fries were great too.
10,A great touch.
11,Service was very prompt.
12,Would not go back.
13,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
14,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!"
15,I was disgusted because I was pretty sure that was human hair.
16,I was shocked because no signs indicate cash only.
17,Highly recommended.
18,Waitress was a little slow in service.
19,"This place is not worth your time, let alone Vegas."
20,did not like at all.
21,The Burrittos Blah!
22,"The food, amazing."
23,Service is also cute.
24,I could care less... The interior is just beautiful.
25,So they performed.
26,That's right....the red velvet cake.....ohhh this stuff is so good.
27,#NAME?
28,"This hole in the wall has great Mexican street tacos, and friendly staff."
29,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
30,The worst was the salmon sashimi.
31,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."
32,This was like the final blow!
33,I found this place by accident and I could not be happier.
34,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
35,"Overall, I like this place a lot."
36,The only redeeming quality of the restaurant was that it was very inexpensive.
37,Ample portions and good prices.
38,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
39,My first visit to Hiro was a delight!
40,Service sucks.
41,The shrimp tender and moist.
42,There is not a deal good enough that would drag me into that establishment again.
43,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
44,"On a positive note, our server was very attentive and provided great service."
45,"Frozen pucks of disgust, with some of the worst people behind the register."
46,The only thing I did like was the prime rib and dessert section.
47,It's too bad the food is so damn generic.
48,"The burger is good beef, cooked just right."
49,If you want a sandwich just go to any Firehouse!!!!!
50,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing."
51,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.
52,He came running after us when he realized my husband had left his sunglasses on the table.
53,Their chow mein is so good!
54,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."
55,The portion was huge!
56,"Loved it...friendly servers, great food, wonderful and imaginative menu."
57,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
58,Not much seafood and like 5 strings of pasta at the bottom.
59,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked."
60,"The ripped banana was not only ripped, but petrified and tasteless."
61,At least think to refill my water before I struggle to wave you over for 10 minutes.
62,This place receives stars for their APPETIZERS!!!
63,The cocktails are all handmade and delicious.
64,We'd definitely go back here again.
65,We are so glad we found this place.
66,"Great food and service, huge portions and they give a military discount."
67,Always a great time at Dos Gringos!
68,Update.....went back for a second time and it was still just as amazing
69,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
70,A great way to finish a great.
71,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
72,The service was meh.
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk."
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense."
75,The scallop dish is quite appalling for value as well.
76,2 times - Very Bad Customer Service !
77,The sweet potato fries were very good and seasoned well.
78,Today is the second time I've been to their lunch buffet and it was pretty good.
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
81,walked in and the place smelled like an old grease trap and only 2 others there eating.
82,The turkey and roast beef were bland.
83,This place has it!
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.
85,I love the Pho and the spring rolls oh so yummy you have to try.
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.
87,All I have to say is the food was amazing!!!
88,Omelets are to die for!
89,Everything was fresh and delicious!
90,"In summary, this was a largely disappointing dining experience."
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party."
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"
93,Best breakfast buffet!!!
94,say bye bye to your tip lady!
95,We'll never go again.
96,Will be back again!
97,Food arrived quickly!
98,It was not good.
99,"On the up side, their cafe serves really good food."
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!"
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming."
102,"Best Buffet in town, for the price you cannot beat it."
